uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
2,2,Y,A,N,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123,32,64,C,DALLAS AREA,Y,N,79.98999023,3,3,WCMB,0,0,O,15,S,S,5,M,6,,C,A,0,N,Y,U,U,U,U,Y,464,1000011
3,3,Y,A,N,3207,5579.136667,3104.16,2796.06,5358.14,3087,54.82,105.06,60.53,18,13,36,36,26,36,C,CENTRAL/SOUTH TEXAS AREA,N,N,79.98999023,4,3,WC,0,0,O,4,S,A,3,M,9,,,A,0,N,U,U,Y,Y,U,Y,544,1000012
1,1,Y,BA,N,31584,51857.07,4270.87,4181.91,51553.07,31397,78.9,972.7,592.4,1042,625,80,999,625,76,U,GREAT LAKES AREA,Y,N,199.9899902,9,5,WCMB,0,0,O,15,S,S,3,M,5,,B,A,0,J,U,U,U,U,U,Y,388,1000013
2,2,Y,A,N,400,642,1370.94,1323.62,613,385,25.95,12.02,7.55,3,2,25,4,3,25,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,1,0,,1,S,U,1,M,7,,A,A,0,N,U,U,U,U,U,N,354,1000014
5,1,Y,C,N,33184,69161.08333,6616.72,6572.7,69104.08,33139,115.31,1212.35,581.39,2038,637,248,1817,576,182,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,10,6,WCMB,0,0,O,11,S,S,3,M,3,2,I,A,0,N,U,U,Y,U,U,Y,199,1000015
2,2,N,B,N,7586,15226.03,2311.08,2303.38,15180.03,7560,43.46,286.42,142.64,203,106,43,222,115,41,S,DALLAS AREA,Y,N,79.98999023,5,4,WCMB,0,0,O,4,M,U,3,M,1,,,,0,N,U,Y,U,U,U,Y,697,1000016
1,1,N,B,N,4078,11330,1739.43,1722.98,11316,4067,50.68,332.82,119.62,446,193,63,429,183,64,T,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WCMB,0,0,O,3,S,U,2,M,3,1,C,A,0,N,U,U,U,U,U,Y,530,1000017
3,2,N,A,N,7043,12661,2036.85,2013.28,12657,7041,36.61,230.13,128.02,143,76,33,135,73,32,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,79.98999023,6,5,WC,1,1,O,7,S,S,5,M,4,,C,A,0,N,U,U,U,U,Y,Y,48,1000018
1,1,N,A,N,8468,23835,1935.97,1914.23,23524,8378,47.86,588.1,209.45,1156,254,55,1031,248,55,S,DALLAS AREA,Y,N,29.98999023,4,4,WC,0,0,O,10,S,B,1,M,3,1,C,A,0,N,U,U,U,U,U,Y,408,1000019
1,1,Y,B,N,1319,4531.016667,1348.33,1276,4504.02,1306,42.53,150.13,43.53,181,63,51,240,62,51,U,CHICAGO AREA,Y,N,129.9899902,4,3,WCMB,0,0,R,15,S,S,4,M,1,2,C,A,0,S,U,U,Y,Y,Y,N,253,1000020
2,1,U,A,N,28477,79406.01667,6751.7,6472.05,78927.02,28359,115.57,1409.41,506.41,2314,862,197,2192,810,163,U,TENNESSEE AREA,Y,N,149.9899902,4,3,WCMB,1,1,O,7,S,U,2,M,6,1,C,A,0,Z,U,U,U,U,U,Y,143,1000021
1,1,U,D,N,79038,117808.04,6005.39,5935.58,117230.04,78664,114.15,2254.42,1512.77,1803,1290,78,1720,1226,91,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,129.9899902,13,6,WCMB,1,1,,13,M,A,3,M,5,3,C,J,0,U,U,U,U,U,U,Y,162,1000022
1,1,N,A,N,27530,64174.80667,7419.73,7341.87,63886.81,27398,143.96,1252.68,537.22,1639,601,217,1393,519,163,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,8,6,WCMB,0,0,,,,U,,,,,,,0,J,U,U,U,U,U,N,350,1000023
1,1,Y,G,N,5145,10451.09667,1122.8,1089.25,10356.1,5084,29.44,279.89,137.41,395,187,30,486,192,33,U,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,4,3,WCMB,1,1,O,15,S,M,4,M,5,1,,A,0,N,U,U,U,U,U,Y,652,1000024
2,2,Y,B,N,4761,14984,1312.65,1297.63,14983,4760,25.44,293.78,93.33,315,128,26,292,97,26,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,2,2,WCMB,0,0,O,0,S,M,1,M,6,,A,A,0,N,U,U,U,U,U,N,752,1000025
3,3,Y,A,N,2048,3896,1614.8,1588.22,3848,2019,31.76,76.96,40.38,42,27,30,64,31,31,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,3,3,WCMB,0,0,O,,M,U,2,M,9,2,C,,0,M,U,U,U,U,U,Y,573,1000026
1,1,Y,B,N,13600,30020.16,3513.41,3410.02,29860.16,13535,71.04,622.09,281.98,307,174,50,352,218,50,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WC,0,0,O,1,M,M,2,M,9,1,C,C,0,N,U,U,U,U,Y,Y,265,1000027
1,1,Y,A,N,8893,16916,1944.11,1906.69,16904,8887,41.45,367.48,193.2,963,376,38,932,377,53,U,GREAT LAKES AREA,Y,N,149.9899902,2,2,WCMB,0,0,,,M,S,2,M,1,1,G,,0,H,U,U,U,U,U,Y,452,1000028
5,4,N,A,N,17915,42715,3829.33,3530.39,42354,17729,65.38,784.33,328.31,796,316,103,827,341,101,S,NEW ENGLAND AREA,Y,R,99.98999023,5,3,WCMB,0,0,O,10,M,B,1,M,6,2,C,,0,G,U,U,U,U,U,Y,183,1000029
1,1,Y,B,N,3745,6020,2204.39,2152.22,5959,3703,43.04,119.18,74.06,24,13,31,19,11,31,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,0,0,,,,U,,,,,,,0,S,U,U,U,U,U,N,319,1000030
2,1,N,A,N,3195,8864.016667,2028.12,2031.06,8796.02,3156,36.27,157.07,56.36,15,7,14,17,8,14,C,MIDWEST AREA,Y,N,129.9899902,3,3,WCMB,0,0,O,1,S,B,1,M,9,,B,A,0,N,U,U,U,U,U,N,776,1000031
1,1,Y,C,N,1665,3256,1615.61,1554.93,3226,1656,29.9,62.04,31.85,112,65,30,108,63,31,R,CENTRAL/SOUTH TEXAS AREA,N,R,9.989997864,2,2,NA,1,1,O,4,S,U,5,M,3,,,A,0,H,U,U,U,U,U,Y,1395,1000032
1,1,N,A,N,4178,9279,1830.13,1830.13,9194,4120,36.6,183.88,82.4,142,57,36,134,57,37,S,DALLAS AREA,Y,N,149.9899902,4,3,WCMB,0,0,O,7,S,M,1,M,5,,C,A,0,N,U,U,Y,U,U,Y,628,1000033
1,1,Y,A,N,657,1522,1174.43,929.35,1502,646,16.9,27.31,11.75,51,18,22,36,14,20,T,MIDWEST AREA,T,N,99.98999023,2,2,WCMB,0,0,O,15,S,M,2,M,7,,C,A,1,N,U,U,U,U,U,Y,138,1000034
2,1,N,A,N,3897,6246.02,1873.74,1837.18,6207.02,3879,34.02,114.94,71.83,52,30,29,84,47,29,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,29.98999023,2,2,WC,1,0,O,7,M,A,6,M,9,3,,A,0,N,U,U,U,U,Y,Y,917,1000035
1,1,N,A,N,22974,55673.23,4566.18,4345.2,54702.23,22668,83.56,1051.97,435.92,1198,499,100,1132,440,80,T,MIDWEST AREA,Y,N,199.9899902,4,3,WCMB,0,0,O,2,,U,2,M,7,2,C,,0,I,U,U,U,U,U,Y,258,1000036
2,2,Y,A,N,2139,3827,1518.34,1517.47,3827,2139,28.63,72.21,40.36,124,78,30,103,63,30,T,MIDWEST AREA,Y,N,149.9899902,5,3,WCMB,1,0,O,2,S,M,2,M,9,2,C,A,0,N,U,U,Y,U,U,Y,630,1000037
1,1,Y,A,N,1226,3109,1006.81,967.07,3074,1210,19.34,61.48,24.2,82,29,21,73,27,20,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,1,1,NA,1,0,O,1,S,M,2,M,7,2,I,A,0,N,U,U,U,U,U,Y,1570,1000038
1,1,N,A,N,9655,16089.60333,2362.05,2291.63,15771.6,9454,41.67,286.76,171.89,156,114,32,245,153,38,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,3,3,WCMB,1,0,O,13,S,M,2,M,9,,C,A,0,N,U,U,U,U,U,Y,786,1000039
2,1,Y,A,N,3599,5970.016667,1591.01,1365.48,5894.02,3545,26.26,113.35,68.17,177,86,31,167,93,31,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,R,29.98999023,4,3,WCMB,1,1,O,14,S,M,3,M,9,2,C,A,0,J,U,U,U,Y,U,Y,179,1000040
3,3,U,A,N,5676,13430,2741.17,2709.95,13403,5660,48.39,239.34,101.07,721,258,93,621,243,79,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,199.9899902,3,3,WCMB,1,1,O,7,S,M,4,M,8,1,C,A,0,N,U,U,U,Y,U,Y,107,1000041
2,2,N,A,N,2858,4832,1451.04,1451.04,4818,2850,27.9,92.65,54.81,72,46,30,105,65,31,S,MIDWEST AREA,Y,N,79.98999023,4,3,WCMB,0,0,O,15,S,M,5,M,9,,,A,0,N,U,U,U,U,U,Y,616,1000042
1,1,Y,C,N,5987,19426,2909.82,2847.32,19390,5967,56.95,387.8,119.34,261,73,56,288,95,56,S,MIDWEST AREA,Y,N,29.98999023,4,3,WC,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,1155,1000043
1,1,Y,A,N,318,1370,968.88,968.28,1317,304,18.27,24.85,5.74,5,4,16,15,5,16,S,DALLAS AREA,N,N,29.98999023,1,1,NA,0,0,O,10,S,M,5,M,6,,,A,1,N,U,U,U,U,U,Y,1661,1000044
2,2,N,A,N,3683,8471,2382.62,2340.31,8434,3671,41.79,150.61,65.55,82,31,60,70,28,60,T,CHICAGO AREA,N,R,9.989997864,3,2,NA,0,0,O,2,S,M,2,M,6,1,C,A,0,N,U,Y,Y,U,U,Y,1072,1000045
2,1,N,B,N,11193,35976.01667,3808.91,3749.51,35811.02,11110,70.75,675.68,209.62,684,224,58,705,235,62,S,PHILADELPHIA AREA,N,N,79.98999023,2,2,WC,0,0,O,8,,B,1,M,9,,C,,0,S,U,U,U,U,U,Y,864,1000046
3,3,Y,A,N,2908,4672,1555,1504.75,4665,2904,30.71,95.2,59.27,140,84,33,100,60,32,R,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,1,1,NA,1,1,O,15,S,M,4,M,5,2,I,A,0,N,U,U,U,U,U,Y,1549,1000047
5,4,N,A,N,14937,32772,3187.88,3127.38,32612,14853,62.55,652.24,297.06,920,337,78,814,326,93,T,CENTRAL/SOUTH TEXAS AREA,N,R,9.989997864,8,3,WCMB,0,0,O,8,S,M,6,M,5,3,I,A,0,H,U,U,U,U,U,Y,151,1000048
1,1,Y,B,N,5104,9615,1803.31,1778.65,9584,5087,34.88,187.92,99.75,868,276,134,476,164,86,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,5,4,WCMB,1,0,O,15,S,M,2,M,7,1,C,A,0,N,U,Y,Y,Y,Y,Y,162,1000049
2,1,N,A,N,18690,52365.07667,7671.92,7392.02,52303.08,18654,134.4,950.97,339.16,221,94,55,241,102,55,,NORTHWEST/ROCKY MOUNTAIN AREA,Y,R,99.98999023,7,5,WCMB,0,0,,,,U,,,,,,,0,N,U,U,U,U,U,N,192,1000050
